Aeródromo;;;;;Geoespacial;;;Operação;Internacionalização;;Pista 1;;;;;Pista 2;;;;;Pista 3;;;;;Heliponto;;;;;;;;;Atos normativos;;;;Classe RBAC 107;Classe RBAC 153;Categoria Tarifária;Especificação Operativa;;;;;;;Medidas Administrativas (DOU);;;Outros;
SBDB;MS0004;AERÓDROMO PÚBLICO DE BONITO;BONITO;MS;21° 14' 50'' S;56° 27' 9'' W;334 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 18/36;2000 m;30 m;PCN 48/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-1122;-;-;-;PA2015-1122;-;-;-;AP-1;Classe I;3ª;3C;"NPA(18;36)";-;PA2022-9254;-;PA2022-9254;-;-;-;-;;-
SBDN;SP0005;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;SP;22° 10' 30'' S;51° 25' 28'' W;452 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 12/30;2100 m;35 m;PCN 38/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-9949;-;-;-;PA2022-9949;-;-;-;AP-1;Classe II;3ª;-;-;-;-;-;-;-;-;-;-;;-
SBDO;MS0008;DOURADOS;DOURADOS;MS;22° 12' 2'' S;54° 55' 32'' W;458 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 06/24;1950 m;30 m;PCN 28/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2023-12.139;-;-;-;PA2023-12.139;-;-;-;AP-0;Classe I;2ª;-;-;-;-;-;-;-;-;-;-;;-
SBEG;AM0001;EDUARDO GOMES;MANAUS;AM;3° 2' 28'' S;60° 3' 2'' W;80 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 11/29;2700 m;45 m;PCN 71/F/C/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-7517;-;-;-;PA2022-7517;-;-;-;AP-2;Classe III;1ª;4E;PA1(11) / NPA(29);N/A;PA2023-10.197;-;PA2023-10.197;-;-;-;-;X;-
SBEK;PA0011;JACAREACANGA;JACAREACANGA;PA;6° 14' 7'' S;57° 46' 33'' W;90 m;VFR Diurno e IFR Diurno;-;-; 08/26;1600 m;30 m;5700 kg / 0,5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2419;-;-;-;PA2020-2419;-;-;-;AP-0;Classe I;-;-;-;-;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa com motor à reação (turbojato).;PA2021-4427;PA2021-4427;X;-
SBFI;PR0002;CATARATAS;FOZ DO IGUAÇU;PR;25° 36' 1'' S;54° 29' 6'' W;240 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 15/33;2195 m;45 m;PCN 67/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-1182;-;-;-;PA2014-1182;-;-;-;AP-2;Classe III;2ª;4C;PA1(15)/NPA(33);N/A;PA2022-7623 / PA2024-14.129;PA2024-14.129;PA2022-7623 / PA2024-14.129;PA2024-14.129;-;-;-;;-
SBFL;SC0001;HERCÍLIO LUZ;FLORIANÓPOLIS;SC;27° 40' 13'' S;48° 33' 9'' W;5 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 14/32;2400 m;45 m;PCN 78/F/A/X/T;Asfalto; 03/21;1320 m;45 m;PCN 26/R/B/X/T;Concreto;-;-;-;-;-;-;-;-;-;-;PA2017-3540;-;-;-;PA2017-3540;-;-;-;AP-2;Classe III;1ª;"4E(14/32); 2B(03/21)";" PA1(14)/ NPA(32)/NINST(03;21)";N/A;PA2018-3994 / PA2019-3004;-;PA2018-3994 / PA2019-3004;-;-;-;-;;-
SBFN;PE0003;FERNANDO DE NORONHA;FERNANDO DE NORONHA;PE;3° 51' 17'' S;32° 25' 42'' W;58 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 12/30;1845 m;45 m;PCN 30/F/C/X/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-2251;-;-;-;PA2018-2251;-;-;-;AP-1;Classe II;2ª;-;-;-;-;-;-;-;Proibição de operações de aeronaves de asa fixa com motor à reação (turbojato), exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador do Aeródromo.;PA2022-9433;PA2022-9433;;-
SBFZ;CE0001;PINTO MARTINS;FORTALEZA;CE;3° 46' 33'' S;38° 31' 56'' W;25 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 13/31;2755 m;45 m;PCN 66/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-3262;-;-;-;PA2018-3262;-;-;-;AP-3;Classe IV;1ª;4E;PA1(13) / NPA(31);N/A;PA2018-3869 / PA2020-2509 / PA2022-9952;PA2022-9952;PA2018-3869 / PA2020-2509 / PA2022-9952;PA2022-9952;-;-;-;;-
SBGL;RJ0001;RIO DE JANEIRO/GALEÃO – ANTÔNIO CARLOS JOBIM;RIO DE JANEIRO;RJ;22° 48' 36'' S;43° 15' 2'' W;9 m;VFR Diurno/Noturno e IFR Diurno/Noturno;RS;INTL PAX/CARGA; 10/28;4000 m;45 m;PCN 78/R/A/W/T;Concreto; 15/33;3180 m;47 m;PCN 73/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;PA2021-6801;-;-;-;PA2021-6801;-;-;-;AP-3;Classe IV;1ª (*);4E;"PA2(10) / PA1(28;15) / NPA(33)";N/A;PA2015-2166;-;PA2015-2166;-;-;-;-;;-
